method,dim,k,inertia,silhouette
word2vec,100,2,97705.74362393224,0.01978505603401135
word2vec,100,3,96160.76054045152,0.018793984817972068
word2vec,100,4,94925.80277398316,0.025844076909640818
word2vec,100,5,93784.23474599062,0.0278293810354115
word2vec,100,6,92997.74128298191,0.02956222892614607
word2vec,100,7,91698.78043094533,0.027628504734640406
word2vec,100,8,90870.50898466943,0.03954944681704252
word2vec,100,9,90180.4327064105,0.04916100697002276
word2vec,100,10,88743.14995032901,0.04603888076484876
word2vec,100,11,87300.3617993955,0.049722152558805945
word2vec,100,12,86625.19179302451,0.04769495247871685
word2vec,200,2,196705.69732953134,0.013981276880266917
word2vec,200,3,194775.1416575737,0.01196131533741757
word2vec,200,4,193252.8524263818,0.012357198164221267
word2vec,200,5,190555.87987900432,0.011368579661085742
word2vec,200,6,189870.3829696828,0.0075343567282373
word2vec,200,7,189383.16203382413,0.013790747949312086
word2vec,200,8,187923.3300154646,0.006648019412718645
word2vec,200,9,186657.29902256897,0.016729586870924452
word2vec,200,10,185313.9482568384,-0.017385992980957193
word2vec,200,11,183352.10294926696,0.009349306240556052
word2vec,200,12,183299.05888653576,0.017107016604663607
word2vec,300,2,295309.2024743272,0.010758578824985526
word2vec,300,3,293861.31136668945,0.004401455355671736
word2vec,300,4,291594.833966036,0.007241612053579045
word2vec,300,5,290557.1803801727,0.004910568879777362
word2vec,300,6,288914.3239448115,0.0024978115844436735
word2vec,300,7,287761.50221817096,0.002149599553276093
word2vec,300,8,287032.4878515108,0.00034449608211371336
word2vec,300,9,285260.1213172848,-0.00172472454682535
word2vec,300,10,283555.85411049926,-0.008328012603259185
word2vec,300,11,282993.90459148295,0.003648509125564164
word2vec,300,12,280719.18527814245,0.006504269191546824
doc2vec,100,2,48181.663126007326,0.6372862954694793
doc2vec,100,3,31654.543717980756,0.18989283424327913
doc2vec,100,4,25276.94834798463,-0.013574151490790207
doc2vec,100,5,21977.938128123893,-0.17148654298250024
doc2vec,100,6,19718.729738015663,-0.2672504313219729
doc2vec,100,7,18272.415802260824,-0.29085961167738317
doc2vec,100,8,17305.408147315426,-0.3239689721092579
doc2vec,100,9,16690.312677943584,-0.31534243699153325
doc2vec,100,10,16286.487635101155,-0.33076412153150203
doc2vec,100,11,15941.360081636003,-0.3244759705196349
doc2vec,100,12,15548.082175069316,-0.3293508619700148
doc2vec,200,2,156066.64377190667,0.4210778314683609
doc2vec,200,3,120575.75502146076,0.31708798621784334
doc2vec,200,4,108553.5364227276,0.16130294538805076
doc2vec,200,5,101947.69681078015,0.13771285246409587
doc2vec,200,6,96331.8018817191,-0.040339870544739254
doc2vec,200,7,91098.50033420358,-0.03672854762700133
doc2vec,200,8,88191.13663263878,-0.05349118653932998
doc2vec,200,9,83378.15638924573,-0.02642143109842837
doc2vec,200,10,80035.53821787602,-0.04082091964446945
doc2vec,200,11,77570.23051634787,-0.02611459676780046
doc2vec,200,12,74973.67296026403,-0.08032423671386735
doc2vec,300,2,254464.36924622447,0.25299152638077466
doc2vec,300,3,233141.81868499058,0.15011557333191608
doc2vec,300,4,212761.7779422867,0.0783868093912015
doc2vec,300,5,197239.78696351752,0.03843704911280638
doc2vec,300,6,187765.34425909488,0.022239819402105374
doc2vec,300,7,178189.21647810232,-0.00356781946469803
doc2vec,300,8,170581.0748748251,0.01374179157591349
doc2vec,300,9,162470.0634046226,-0.021809610656069744
doc2vec,300,10,155799.9049233655,-0.047122870816617764
doc2vec,300,11,150619.09657233595,-0.06570946004374212
doc2vec,300,12,145521.59690757334,-0.051113579041648746
