Method,Dim,Config,K,NumPosts,Silhouette,ClusterSizes
Doc2Vec,100,Configuration A,8,992,0.905811,"2,18,1,925,2,2,41,1"
Doc2Vec,200,Configuration B,8,992,0.252836,"17,24,35,161,511,95,144,5"
Doc2Vec,300,Configuration C,8,992,0.271483,"125,125,50,72,240,221,81,78"
Doc2Vec,100,Configuration A,5,992,0.908216,"19,46,915,8,4"
Doc2Vec,200,Configuration B,5,992,0.345828,"28,182,99,677,6"
Doc2Vec,300,Configuration C,5,992,0.260624,"185,287,239,153,128"
Doc2Vec,100,Configuration A,5,992,0.915096,"22,48,3,2,917"
Doc2Vec,200,Configuration B,5,992,0.663949,"97,10,858,12,15"
Doc2Vec,300,Configuration C,5,992,0.456578,"624,101,99,140,28"
Doc2Vec,100,Configuration A,5,200,0.243035,"29,38,53,47,33"
Doc2Vec,200,Configuration B,5,200,0.050018,"49,33,43,43,32"
Doc2Vec,300,Configuration C,5,200,0.004296,"57,33,35,56,19"
Doc2Vec,100,Configuration A,5,992,0.001174,"186,202,137,203,264"
Doc2Vec,200,Configuration B,5,992,-0.022931,"230,171,150,205,236"
Doc2Vec,300,Configuration C,5,992,-0.036374,"289,152,165,193,193"
Doc2Vec,100,Configuration A,5,992,0.949761,"937,6,1,3,45"
Doc2Vec,200,Configuration B,5,992,0.840021,"937,8,5,26,16"
Doc2Vec,300,Configuration C,5,992,0.447098,"28,607,99,107,151"
